dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
car_evaluation,1,5,5,euclidean,majority,10,1,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,2,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,3,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,4,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,5,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,6,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,7,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,8,1.0,1.0,1.0,1.0
car_evaluation,1,5,5,euclidean,majority,10,9,1.0,1.0,1.0,1.0
car_evaluation,1,sqrt(n),39,euclidean,majority,10,0,0.8092485549132948,0.9,0.47368421052631576,0.6206896551724138
car_evaluation,1,sqrt(n),39,euclidean,majority,10,1,0.7803468208092486,0.8275862068965517,0.42105263157894735,0.5581395348837209
car_evaluation,1,sqrt(n),39,euclidean,majority,10,2,0.8554913294797688,0.9714285714285714,0.5862068965517241,0.7311827956989247
car_evaluation,1,sqrt(n),39,euclidean,majority,10,3,0.8323699421965318,1.0,0.5,0.6666666666666666
car_evaluation,1,sqrt(n),39,euclidean,majority,10,4,0.8497109826589595,0.9705882352941176,0.5689655172413793,0.717391304347826
car_evaluation,1,sqrt(n),39,euclidean,majority,10,5,0.8323699421965318,0.9393939393939394,0.5344827586206896,0.6813186813186812
car_evaluation,1,sqrt(n),39,euclidean,majority,10,6,0.8208092485549133,0.9655172413793104,0.4827586206896552,0.6436781609195403
car_evaluation,1,sqrt(n),39,euclidean,majority,10,7,0.8208092485549133,0.9354838709677419,0.5,0.6516853932584269
car_evaluation,1,sqrt(n),39,euclidean,majority,10,8,0.8255813953488372,0.9655172413793104,0.49122807017543857,0.6511627906976745
car_evaluation,1,sqrt(n),39,euclidean,majority,10,9,0.8313953488372093,0.9117647058823529,0.543859649122807,0.6813186813186813
car_evaluation,1,n,1555,euclidean,majority,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,majority,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,inverse_square,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,0,0.8786127167630058,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,1,0.9075144508670521,0.7808219178082192,1.0,0.8769230769230769
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,2,0.9132947976878613,0.7945205479452054,1.0,0.8854961832061068
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,3,0.8901734104046243,0.7532467532467533,1.0,0.8592592592592593
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,4,0.9190751445086706,0.8055555555555556,1.0,0.8923076923076924
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,5,0.8959537572254336,0.7631578947368421,1.0,0.8656716417910448
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,6,0.9421965317919075,0.8529411764705882,1.0,0.9206349206349206
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,7,0.9075144508670521,0.7837837837837838,1.0,0.8787878787878788
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,8,0.8895348837209303,0.75,1.0,0.8571428571428571
car_evaluation,1,n,1555,euclidean,averaged_inverse_square,10,9,0.877906976744186,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,2,5,5,euclidean,majority,10,0,0.9942196531791907,1.0,0.9824561403508771,0.9911504424778761
car_evaluation,2,5,5,euclidean,majority,10,1,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,2,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,3,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,4,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,5,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,6,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,7,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,8,1.0,1.0,1.0,1.0
car_evaluation,2,5,5,euclidean,majority,10,9,1.0,1.0,1.0,1.0
car_evaluation,2,sqrt(n),39,euclidean,majority,10,0,0.8092485549132948,0.9,0.47368421052631576,0.6206896551724138
car_evaluation,2,sqrt(n),39,euclidean,majority,10,1,0.7803468208092486,0.8275862068965517,0.42105263157894735,0.5581395348837209
car_evaluation,2,sqrt(n),39,euclidean,majority,10,2,0.8554913294797688,0.9714285714285714,0.5862068965517241,0.7311827956989247
car_evaluation,2,sqrt(n),39,euclidean,majority,10,3,0.8323699421965318,1.0,0.5,0.6666666666666666
car_evaluation,2,sqrt(n),39,euclidean,majority,10,4,0.8497109826589595,0.9705882352941176,0.5689655172413793,0.717391304347826
car_evaluation,2,sqrt(n),39,euclidean,majority,10,5,0.8323699421965318,0.9393939393939394,0.5344827586206896,0.6813186813186812
car_evaluation,2,sqrt(n),39,euclidean,majority,10,6,0.8208092485549133,0.9655172413793104,0.4827586206896552,0.6436781609195403
car_evaluation,2,sqrt(n),39,euclidean,majority,10,7,0.8208092485549133,0.9354838709677419,0.5,0.6516853932584269
car_evaluation,2,sqrt(n),39,euclidean,majority,10,8,0.8255813953488372,0.9655172413793104,0.49122807017543857,0.6511627906976745
car_evaluation,2,sqrt(n),39,euclidean,majority,10,9,0.8313953488372093,0.9117647058823529,0.543859649122807,0.6813186813186813
car_evaluation,2,n,1555,euclidean,majority,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,majority,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,inverse_square,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,0,0.8786127167630058,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,1,0.9075144508670521,0.7808219178082192,1.0,0.8769230769230769
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,2,0.9132947976878613,0.7945205479452054,1.0,0.8854961832061068
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,3,0.8901734104046243,0.7532467532467533,1.0,0.8592592592592593
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,4,0.9190751445086706,0.8055555555555556,1.0,0.8923076923076924
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,5,0.8959537572254336,0.7631578947368421,1.0,0.8656716417910448
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,6,0.9421965317919075,0.8529411764705882,1.0,0.9206349206349206
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,7,0.9075144508670521,0.7837837837837838,1.0,0.8787878787878788
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,8,0.8895348837209303,0.75,1.0,0.8571428571428571
car_evaluation,2,n,1555,euclidean,averaged_inverse_square,10,9,0.877906976744186,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,3,5,5,euclidean,majority,10,0,0.9942196531791907,1.0,0.9824561403508771,0.9911504424778761
car_evaluation,3,5,5,euclidean,majority,10,1,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,2,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,3,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,4,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,5,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,6,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,7,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,8,1.0,1.0,1.0,1.0
car_evaluation,3,5,5,euclidean,majority,10,9,1.0,1.0,1.0,1.0
car_evaluation,3,sqrt(n),39,euclidean,majority,10,0,0.8092485549132948,0.9,0.47368421052631576,0.6206896551724138
car_evaluation,3,sqrt(n),39,euclidean,majority,10,1,0.7803468208092486,0.8275862068965517,0.42105263157894735,0.5581395348837209
car_evaluation,3,sqrt(n),39,euclidean,majority,10,2,0.8554913294797688,0.9714285714285714,0.5862068965517241,0.7311827956989247
car_evaluation,3,sqrt(n),39,euclidean,majority,10,3,0.8323699421965318,1.0,0.5,0.6666666666666666
car_evaluation,3,sqrt(n),39,euclidean,majority,10,4,0.8497109826589595,0.9705882352941176,0.5689655172413793,0.717391304347826
car_evaluation,3,sqrt(n),39,euclidean,majority,10,5,0.8323699421965318,0.9393939393939394,0.5344827586206896,0.6813186813186812
car_evaluation,3,sqrt(n),39,euclidean,majority,10,6,0.8208092485549133,0.9655172413793104,0.4827586206896552,0.6436781609195403
car_evaluation,3,sqrt(n),39,euclidean,majority,10,7,0.8208092485549133,0.9354838709677419,0.5,0.6516853932584269
car_evaluation,3,sqrt(n),39,euclidean,majority,10,8,0.8255813953488372,0.9655172413793104,0.49122807017543857,0.6511627906976745
car_evaluation,3,sqrt(n),39,euclidean,majority,10,9,0.8313953488372093,0.9117647058823529,0.543859649122807,0.6813186813186813
car_evaluation,3,n,1555,euclidean,majority,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,majority,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,inverse_square,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,0,0.8786127167630058,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,1,0.9075144508670521,0.7808219178082192,1.0,0.8769230769230769
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,2,0.9132947976878613,0.7945205479452054,1.0,0.8854961832061068
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,3,0.8901734104046243,0.7532467532467533,1.0,0.8592592592592593
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,4,0.9190751445086706,0.8055555555555556,1.0,0.8923076923076924
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,5,0.8959537572254336,0.7631578947368421,1.0,0.8656716417910448
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,6,0.9421965317919075,0.8529411764705882,1.0,0.9206349206349206
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,7,0.9075144508670521,0.7837837837837838,1.0,0.8787878787878788
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,8,0.8895348837209303,0.75,1.0,0.8571428571428571
car_evaluation,3,n,1555,euclidean,averaged_inverse_square,10,9,0.877906976744186,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,4,5,5,euclidean,majority,10,0,0.9942196531791907,1.0,0.9824561403508771,0.9911504424778761
car_evaluation,4,5,5,euclidean,majority,10,1,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,2,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,3,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,4,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,5,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,6,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,7,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,8,1.0,1.0,1.0,1.0
car_evaluation,4,5,5,euclidean,majority,10,9,1.0,1.0,1.0,1.0
car_evaluation,4,sqrt(n),39,euclidean,majority,10,0,0.8092485549132948,0.9,0.47368421052631576,0.6206896551724138
car_evaluation,4,sqrt(n),39,euclidean,majority,10,1,0.7803468208092486,0.8275862068965517,0.42105263157894735,0.5581395348837209
car_evaluation,4,sqrt(n),39,euclidean,majority,10,2,0.8554913294797688,0.9714285714285714,0.5862068965517241,0.7311827956989247
car_evaluation,4,sqrt(n),39,euclidean,majority,10,3,0.8323699421965318,1.0,0.5,0.6666666666666666
car_evaluation,4,sqrt(n),39,euclidean,majority,10,4,0.8497109826589595,0.9705882352941176,0.5689655172413793,0.717391304347826
car_evaluation,4,sqrt(n),39,euclidean,majority,10,5,0.8323699421965318,0.9393939393939394,0.5344827586206896,0.6813186813186812
car_evaluation,4,sqrt(n),39,euclidean,majority,10,6,0.8208092485549133,0.9655172413793104,0.4827586206896552,0.6436781609195403
car_evaluation,4,sqrt(n),39,euclidean,majority,10,7,0.8208092485549133,0.9354838709677419,0.5,0.6516853932584269
car_evaluation,4,sqrt(n),39,euclidean,majority,10,8,0.8255813953488372,0.9655172413793104,0.49122807017543857,0.6511627906976745
car_evaluation,4,sqrt(n),39,euclidean,majority,10,9,0.8313953488372093,0.9117647058823529,0.543859649122807,0.6813186813186813
car_evaluation,4,n,1555,euclidean,majority,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,majority,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,0,0.6705202312138728,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,1,0.6705202312138728,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,2,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,3,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,4,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,5,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,6,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,7,0.6647398843930635,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,8,0.6686046511627907,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,inverse_square,10,9,0.6686046511627907,0.0,0.0,0.0
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,0,0.8786127167630058,0.7307692307692307,1.0,0.8444444444444443
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,1,0.9075144508670521,0.7808219178082192,1.0,0.8769230769230769
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,2,0.9132947976878613,0.7945205479452054,1.0,0.8854961832061068
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,3,0.8901734104046243,0.7532467532467533,1.0,0.8592592592592593
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,4,0.9190751445086706,0.8055555555555556,1.0,0.8923076923076924
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,5,0.8959537572254336,0.7631578947368421,1.0,0.8656716417910448
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,6,0.9421965317919075,0.8529411764705882,1.0,0.9206349206349206
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,7,0.9075144508670521,0.7837837837837838,1.0,0.8787878787878788
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,8,0.8895348837209303,0.75,1.0,0.8571428571428571
car_evaluation,4,n,1555,euclidean,averaged_inverse_square,10,9,0.877906976744186,0.7307692307692307,1.0,0.8444444444444443
